,10. 10мВт.csv,11. 25мВт.csv,12. 50мВт.csv,17. контроль АЛА+.csv,19. контроль АЛА -.csv,1_1 А контроль АЛА 75мВт.csv,3_1 В 3мВт.csv,3_2 В 5мВт.csv,9. 15мВт.csv
104,-683051454.4275194,-192992177.30319577,-2016979930.9683964,-813829694.882223,-2481428628.619029,-101119048.92259124,-329647020.3555181,-191811178.17815703,-254012726.34330285
105,-216996257.60112792,-818268552.2783706,-2266351132.7837515,-6613806.6037155455,-788399635.4445871,-7920785994.334361,-646058144.3933336,-114008520.32277572,-1371385586.6536076
106,-71551184.83572976,-611736868.6669225,-3232455167.933309,-678417953.395754,544965918.7667153,148894164.95556962,-264647164.0081955,-8565212462.385942,-106510040.11003402
107,161739357.94134596,-465110334.3276712,-6458088984.928731,-4730031505.24778,320675444.7860704,-309504398.5854577,-529307957.5033654,-57520145.66980908,-303591859.18527126
108,-2220002158.084585,-192442328.4050541,-3676744038.87081,-7444706688.53519,-759580294.0565903,28346397.920290243,-748168394.417415,-103768389.7968392,-420793368.4688681
109,-677216246.4009097,235910298.187446,-2428036932.208523,-5243329830.326492,-740551258.8887757,-1758797640.4372656,-1697751.0384579191,-509778573.60459566,-674284804.4947424
110,-290806042.1871116,-709963318.8071661,-5062643531.496552,-660968299.3178015,-900787402.063546,-4086894878.506701,-3197440.026443977,-681217163.5837365,-128996424.52549644
111,-462095303.38002646,-1520427691.019805,-6869540805.870078,-3228132572.567856,100622873.36184372,-1752384345.0709906,-140257024.72932017,-94559764.44432838,-394885863.3362134
112,-952493996.4193504,-2349173658.0129733,-3806753455.274725,-455132762.3539904,-148570238.00529215,-496635555.25632906,-17827581.502888884,-220305065.14272824,-296584220.9869024
113,-267622531.93113747,-785397098.7600793,-1673113035.9411666,-148836782.7111429,-459884597.3309632,-1193232918.9756606,-234933069.9072984,-150845824.84097764,-165705929.7252849
114,-1067446601.2828462,-237954866.493182,-1612287579.4955206,-8916083380.911203,-527328363.23493993,-1144384750.2005668,-2628028813.800976,-239403878.39602843,-1401080825.802231
115,-2670691483.244529,-595177285.2617621,-1070378403.3614708,-3989233349.14986,-1629402477.2698102,-1467722404.7743635,-203463516.28248683,-99818543.10562126,-57520824.322814666
116,-589082427.7261438,-379462167.2317026,-1560670385.656211,-3496631438.483618,-242385454.0657525,-3607358146.287062,-511598039.1768293,-1460063373.0967736,-1326450497.3764484
117,-1508293018.7277648,-1548345696.2128282,-2758034605.9317427,-551347002.4917623,-31358026.86868857,-598683667.5507408,-1102159634.8286622,-139205235.02950624,-3602492306.6688576
118,-2285736731.6594925,-306637143.9947214,-311712895.6257745,-3450761649.2542067,-275926094.8895898,-733093665.3189253,-957241326.0091546,-567214488.0092486,173337474.487342
